Date, Open, High, Low, Close
12/05/24, 9.69, 9.69, 9.69, 9.69
12/04/24, 9.69, 9.69, 9.69, 9.69
12/03/24, 9.66, 9.66, 9.66, 9.66
12/02/24, 9.68, 9.68, 9.68, 9.68
11/29/24, 9.68, 9.68, 9.68, 9.68
11/27/24, 9.64, 9.64, 9.64, 9.64
11/26/24, 9.62, 9.62, 9.62, 9.62
11/25/24, 9.63, 9.63, 9.63, 9.63
11/22/24, 9.55, 9.55, 9.55, 9.55
11/21/24, 9.55, 9.55, 9.55, 9.55
11/20/24, 9.55, 9.55, 9.55, 9.55
11/19/24, 9.56, 9.56, 9.56, 9.56
11/18/24, 9.55, 9.55, 9.55, 9.55
11/15/24, 9.54, 9.54, 9.54, 9.54
11/14/24, 9.54, 9.54, 9.54, 9.54
11/13/24, 9.55, 9.55, 9.55, 9.55
11/12/24, 9.55, 9.55, 9.55, 9.55
11/11/24, 9.61, 9.61, 9.61, 9.61
11/08/24, 9.63, 9.63, 9.63, 9.63
11/07/24, 9.61, 9.61, 9.61, 9.61
11/06/24, 9.54, 9.54, 9.54, 9.54
11/05/24, 9.61, 9.61, 9.61, 9.61
11/04/24, 9.60, 9.60, 9.60, 9.60
11/01/24, 9.56, 9.56, 9.56, 9.56
10/31/24, 9.60, 9.60, 9.60, 9.60
10/30/24, 9.61, 9.61, 9.61, 9.61
10/29/24, 9.62, 9.62, 9.62, 9.62
10/28/24, 9.61, 9.61, 9.61, 9.61
10/25/24, 9.62, 9.62, 9.62, 9.62
10/24/24, 9.64, 9.64, 9.64, 9.64
10/23/24, 9.63, 9.63, 9.63, 9.63
10/22/24, 9.65, 9.65, 9.65, 9.65
10/21/24, 9.65, 9.65, 9.65, 9.65
10/18/24, 9.72, 9.72, 9.72, 9.72
10/17/24, 9.72, 9.72, 9.72, 9.72
10/16/24, 9.76, 9.76, 9.76, 9.76
10/15/24, 9.75, 9.75, 9.75, 9.75
10/14/24, 9.70, 9.70, 9.70, 9.70
10/11/24, 9.72, 9.72, 9.72, 9.72
10/10/24, 9.72, 9.72, 9.72, 9.72
10/09/24, 9.72, 9.72, 9.72, 9.72
10/08/24, 9.75, 9.75, 9.75, 9.75
10/07/24, 9.74, 9.74, 9.74, 9.74
10/04/24, 9.77, 9.77, 9.77, 9.77
10/03/24, 9.84, 9.84, 9.84, 9.84
10/02/24, 9.88, 9.88, 9.88, 9.88
10/01/24, 9.90, 9.90, 9.90, 9.90
09/30/24, 9.87, 9.87, 9.87, 9.87
09/27/24, 9.90, 9.90, 9.90, 9.90
09/26/24, 9.87, 9.87, 9.87, 9.87
09/25/24, 9.88, 9.88, 9.88, 9.88
09/24/24, 9.91, 9.91, 9.91, 9.91
09/23/24, 9.90, 9.90, 9.90, 9.90
09/20/24, 9.91, 9.91, 9.91, 9.91
09/19/24, 9.91, 9.91, 9.91, 9.91
09/18/24, 9.91, 9.91, 9.91, 9.91
09/17/24, 9.94, 9.94, 9.94, 9.94
09/16/24, 9.96, 9.96, 9.96, 9.96
09/13/24, 9.93, 9.93, 9.93, 9.93
09/12/24, 9.91, 9.91, 9.91, 9.91
09/11/24, 9.93, 9.93, 9.93, 9.93
09/10/24, 9.93, 9.93, 9.93, 9.93
09/09/24, 9.90, 9.90, 9.90, 9.90
09/06/24, 9.89, 9.89, 9.89, 9.89
09/05/24, 9.88, 9.88, 9.88, 9.88
09/04/24, 9.86, 9.86, 9.86, 9.86
09/03/24, 9.81, 9.81, 9.81, 9.81
08/30/24, 9.77, 9.77, 9.77, 9.77
08/29/24, 9.80, 9.80, 9.80, 9.80
08/28/24, 9.81, 9.81, 9.81, 9.81
08/27/24, 9.82, 9.82, 9.82, 9.82
08/26/24, 9.82, 9.82, 9.82, 9.82
08/23/24, 9.83, 9.83, 9.83, 9.83
08/22/24, 9.79, 9.79, 9.79, 9.79
08/21/24, 9.83, 9.83, 9.83, 9.83
08/20/24, 9.81, 9.81, 9.81, 9.81
08/19/24, 9.78, 9.78, 9.78, 9.78
08/16/24, 9.77, 9.77, 9.77, 9.77
08/15/24, 9.75, 9.75, 9.75, 9.75
08/14/24, 9.79, 9.79, 9.79, 9.79
08/13/24, 9.78, 9.78, 9.78, 9.78
08/12/24, 9.74, 9.74, 9.74, 9.74
08/09/24, 9.73, 9.73, 9.73, 9.73
08/08/24, 9.70, 9.70, 9.70, 9.70
08/07/24, 9.72, 9.72, 9.72, 9.72
08/06/24, 9.74, 9.74, 9.74, 9.74
08/05/24, 9.80, 9.80, 9.80, 9.80
08/02/24, 9.81, 9.81, 9.81, 9.81
08/01/24, 9.70, 9.70, 9.70, 9.70
07/31/24, 9.67, 9.67, 9.67, 9.67
07/30/24, 9.61, 9.61, 9.61, 9.61
07/29/24, 9.60, 9.60, 9.60, 9.60
07/26/24, 9.59, 9.59, 9.59, 9.59
07/25/24, 9.56, 9.56, 9.56, 9.56
07/24/24, 9.54, 9.54, 9.54, 9.54
07/23/24, 9.56, 9.56, 9.56, 9.56
07/22/24, 9.56, 9.56, 9.56, 9.56
07/19/24, 9.57, 9.57, 9.57, 9.57
07/18/24, 9.60, 9.60, 9.60, 9.60
07/17/24, 9.62, 9.62, 9.62, 9.62
07/16/24, 9.62, 9.62, 9.62, 9.62
07/15/24, 9.58, 9.58, 9.58, 9.58
07/12/24, 9.61, 9.61, 9.61, 9.61
07/11/24, 9.59, 9.59, 9.59, 9.59
07/10/24, 9.54, 9.54, 9.54, 9.54
07/09/24, 9.53, 9.53, 9.53, 9.53
07/08/24, 9.54, 9.54, 9.54, 9.54
07/05/24, 9.54, 9.54, 9.54, 9.54
07/03/24, 9.50, 9.50, 9.50, 9.50
07/02/24, 9.45, 9.45, 9.45, 9.45
07/01/24, 9.42, 9.42, 9.42, 9.42
06/28/24, 9.48, 9.48, 9.48, 9.48
06/27/24, 9.52, 9.52, 9.52, 9.52
06/26/24, 9.51, 9.51, 9.51, 9.51
06/25/24, 9.55, 9.55, 9.55, 9.55
06/24/24, 9.55, 9.55, 9.55, 9.55
06/21/24, 9.54, 9.54, 9.54, 9.54
06/20/24, 9.54, 9.54, 9.54, 9.54
06/18/24, 9.57, 9.57, 9.57, 9.57
06/17/24, 9.53, 9.53, 9.53, 9.53
06/14/24, 9.57, 9.57, 9.57, 9.57
06/13/24, 9.56, 9.56, 9.56, 9.56
06/12/24, 9.51, 9.51, 9.51, 9.51
06/11/24, 9.47, 9.47, 9.47, 9.47
06/10/24, 9.44, 9.44, 9.44, 9.44
06/07/24, 9.45, 9.45, 9.45, 9.45
06/06/24, 9.53, 9.53, 9.53, 9.53
06/05/24, 9.53, 9.53, 9.53, 9.53
06/04/24, 9.50, 9.50, 9.50, 9.50
06/03/24, 9.47, 9.47, 9.47, 9.47
05/31/24, 9.42, 9.42, 9.42, 9.42
05/30/24, 9.39, 9.39, 9.39, 9.39
