Date, Open, High, Low, Close
05/10/24, 22.85, 22.85, 22.85, 22.85
05/09/24, 22.89, 22.89, 22.89, 22.89
05/08/24, 22.82, 22.82, 22.82, 22.82
05/07/24, 22.84, 22.84, 22.84, 22.84
05/06/24, 22.84, 22.84, 22.84, 22.84
05/03/24, 22.82, 22.82, 22.82, 22.82
05/02/24, 22.71, 22.71, 22.71, 22.71
05/01/24, 22.63, 22.63, 22.63, 22.63
04/30/24, 22.60, 22.60, 22.60, 22.60
04/29/24, 22.70, 22.70, 22.70, 22.70
04/26/24, 22.63, 22.63, 22.63, 22.63
04/25/24, 22.58, 22.58, 22.58, 22.58
04/24/24, 22.62, 22.62, 22.62, 22.62
04/23/24, 22.66, 22.66, 22.66, 22.66
04/22/24, 22.64, 22.64, 22.64, 22.64
04/19/24, 22.63, 22.63, 22.63, 22.63
04/18/24, 22.60, 22.60, 22.60, 22.60
04/17/24, 22.64, 22.64, 22.64, 22.64
04/16/24, 22.57, 22.57, 22.57, 22.57
04/15/24, 22.64, 22.64, 22.64, 22.64
04/12/24, 22.71, 22.71, 22.71, 22.71
04/11/24, 22.63, 22.63, 22.63, 22.63
04/10/24, 22.66, 22.66, 22.66, 22.66
04/09/24, 22.87, 22.87, 22.87, 22.87
04/08/24, 22.81, 22.81, 22.81, 22.81
04/05/24, 22.81, 22.81, 22.81, 22.81
04/04/24, 22.92, 22.92, 22.92, 22.92
04/03/24, 22.84, 22.84, 22.84, 22.84
04/02/24, 22.83, 22.83, 22.83, 22.83
04/01/24, 22.83, 22.83, 22.83, 22.83
03/28/24, 22.96, 22.96, 22.96, 22.96
03/27/24, 23.00, 23.00, 23.00, 23.00
03/26/24, 22.94, 22.94, 22.94, 22.94
03/25/24, 22.92, 22.92, 22.92, 22.92
03/22/24, 22.99, 22.99, 22.99, 22.99
03/21/24, 22.91, 22.91, 22.91, 22.91
03/20/24, 22.87, 22.87, 22.87, 22.87
03/19/24, 22.79, 22.79, 22.79, 22.79
03/18/24, 22.76, 22.76, 22.76, 22.76
03/15/24, 22.78, 22.78, 22.78, 22.78
03/14/24, 22.79, 22.79, 22.79, 22.79
03/13/24, 22.93, 22.93, 22.93, 22.93
03/12/24, 22.96, 22.96, 22.96, 22.96
03/11/24, 23.01, 23.01, 23.01, 23.01
03/08/24, 23.04, 23.04, 23.04, 23.04
03/07/24, 23.02, 23.02, 23.02, 23.02
03/06/24, 23.04, 23.04, 23.04, 23.04
03/05/24, 23.03, 23.03, 23.03, 23.03
03/04/24, 22.93, 22.93, 22.93, 22.93
03/01/24, 22.93, 22.93, 22.93, 22.93
02/29/24, 22.85, 22.85, 22.85, 22.85
02/28/24, 22.79, 22.79, 22.79, 22.79
02/27/24, 22.71, 22.71, 22.71, 22.71
02/26/24, 22.75, 22.75, 22.75, 22.75
02/23/24, 22.75, 22.75, 22.75, 22.75
02/22/24, 22.69, 22.69, 22.69, 22.69
02/21/24, 22.72, 22.72, 22.72, 22.72
02/20/24, 22.76, 22.76, 22.76, 22.76
02/16/24, 22.74, 22.74, 22.74, 22.74
02/15/24, 22.76, 22.76, 22.76, 22.76
02/14/24, 22.74, 22.74, 22.74, 22.74
02/13/24, 22.64, 22.64, 22.64, 22.64
02/12/24, 22.78, 22.78, 22.78, 22.78
02/09/24, 22.78, 22.78, 22.78, 22.78
02/08/24, 22.81, 22.81, 22.81, 22.81
02/07/24, 22.84, 22.84, 22.84, 22.84
02/06/24, 22.88, 22.88, 22.88, 22.88
02/05/24, 22.80, 22.80, 22.80, 22.80
02/02/24, 22.92, 22.92, 22.92, 22.92
02/01/24, 23.14, 23.14, 23.14, 23.14
01/31/24, 23.10, 23.10, 23.10, 23.10
01/30/24, 22.96, 22.96, 22.96, 22.96
01/29/24, 22.96, 22.96, 22.96, 22.96
01/26/24, 22.86, 22.86, 22.86, 22.86
01/25/24, 22.87, 22.87, 22.87, 22.87
01/24/24, 22.81, 22.81, 22.81, 22.81
01/23/24, 22.85, 22.85, 22.85, 22.85
01/22/24, 22.92, 22.92, 22.92, 22.92
01/19/24, 22.91, 22.91, 22.91, 22.91
01/18/24, 22.89, 22.89, 22.89, 22.89
01/17/24, 22.89, 22.89, 22.89, 22.89
01/16/24, 22.95, 22.95, 22.95, 22.95
01/12/24, 23.07, 23.07, 23.07, 23.07
01/11/24, 22.98, 22.98, 22.98, 22.98
01/10/24, 22.87, 22.87, 22.87, 22.87
01/09/24, 22.89, 22.89, 22.89, 22.89
01/08/24, 22.93, 22.93, 22.93, 22.93
01/05/24, 22.86, 22.86, 22.86, 22.86
01/04/24, 22.91, 22.91, 22.91, 22.91
01/03/24, 23.03, 23.03, 23.03, 23.03
