Date, Open, High, Low, Close
09/12/24, 33.51, 33.51, 33.51, 33.51
09/11/24, 33.19, 33.19, 33.19, 33.19
09/10/24, 33.02, 33.02, 33.02, 33.02
09/09/24, 33.13, 33.13, 33.13, 33.13
09/06/24, 32.84, 32.84, 32.84, 32.84
09/05/24, 33.43, 33.43, 33.43, 33.43
09/04/24, 33.36, 33.36, 33.36, 33.36
09/03/24, 33.46, 33.46, 33.46, 33.46
08/30/24, 34.08, 34.08, 34.08, 34.08
08/29/24, 33.97, 33.97, 33.97, 33.97
08/28/24, 33.84, 33.84, 33.84, 33.84
08/27/24, 34.03, 34.03, 34.03, 34.03
08/26/24, 33.89, 33.89, 33.89, 33.89
08/23/24, 34.02, 34.02, 34.02, 34.02
08/22/24, 33.51, 33.51, 33.51, 33.51
08/21/24, 33.74, 33.74, 33.74, 33.74
08/20/24, 33.50, 33.50, 33.50, 33.50
08/19/24, 33.65, 33.65, 33.65, 33.65
08/16/24, 33.29, 33.29, 33.29, 33.29
08/15/24, 33.05, 33.05, 33.05, 33.05
08/14/24, 32.67, 32.67, 32.67, 32.67
08/13/24, 32.63, 32.63, 32.63, 32.63
08/12/24, 32.17, 32.17, 32.17, 32.17
08/09/24, 32.14, 32.14, 32.14, 32.14
08/08/24, 32.04, 32.04, 32.04, 32.04
08/07/24, 31.49, 31.49, 31.49, 31.49
08/06/24, 31.37, 31.37, 31.37, 31.37
08/05/24, 31.17, 31.17, 31.17, 31.17
08/02/24, 31.98, 31.98, 31.98, 31.98
08/01/24, 32.54, 32.54, 32.54, 32.54
07/31/24, 33.26, 33.26, 33.26, 33.26
07/30/24, 32.70, 32.70, 32.70, 32.70
07/29/24, 32.70, 32.70, 32.70, 32.70
07/26/24, 32.80, 32.80, 32.80, 32.80
07/25/24, 32.45, 32.45, 32.45, 32.45
07/24/24, 32.62, 32.62, 32.62, 32.62
07/23/24, 33.02, 33.02, 33.02, 33.02
07/22/24, 33.17, 33.17, 33.17, 33.17
07/19/24, 32.90, 32.90, 32.90, 32.90
07/18/24, 33.14, 33.14, 33.14, 33.14
07/17/24, 33.39, 33.39, 33.39, 33.39
07/16/24, 33.65, 33.65, 33.65, 33.65
07/15/24, 33.50, 33.50, 33.50, 33.50
07/12/24, 33.75, 33.75, 33.75, 33.75
07/11/24, 33.45, 33.45, 33.45, 33.45
07/10/24, 33.31, 33.31, 33.31, 33.31
07/09/24, 32.96, 32.96, 32.96, 32.96
