Date, Open, High, Low, Close
12/13/24, 145.97, 145.97, 145.97, 145.97
12/12/24, 146.03, 146.03, 146.03, 146.03
12/11/24, 146.90, 146.90, 146.90, 146.90
12/10/24, 145.69, 145.69, 145.69, 145.69
12/09/24, 146.25, 146.25, 146.25, 146.25
12/06/24, 147.26, 147.26, 147.26, 147.26
12/05/24, 146.80, 146.80, 146.80, 146.80
12/04/24, 147.23, 147.23, 147.23, 147.23
12/03/24, 146.23, 146.23, 146.23, 146.23
12/02/24, 146.21, 146.21, 146.21, 146.21
11/29/24, 145.89, 145.89, 145.89, 145.89
11/27/24, 145.14, 145.14, 145.14, 145.14
11/26/24, 145.63, 145.63, 145.63, 145.63
11/25/24, 145.01, 145.01, 145.01, 145.01
11/22/24, 144.38, 144.38, 144.38, 144.38
11/21/24, 143.61, 143.61, 143.61, 143.61
11/20/24, 142.62, 142.62, 142.62, 142.62
11/19/24, 142.54, 142.54, 142.54, 142.54
11/18/24, 141.88, 141.88, 141.88, 141.88
11/15/24, 141.29, 141.29, 141.29, 141.29
11/14/24, 143.16, 143.16, 143.16, 143.16
11/13/24, 144.14, 144.14, 144.14, 144.14
11/12/24, 144.23, 144.23, 144.23, 144.23
11/11/24, 144.79, 144.79, 144.79, 144.79
11/08/24, 144.36, 144.36, 144.36, 144.36
11/07/24, 143.73, 143.73, 143.73, 143.73
11/06/24, 142.74, 142.74, 142.74, 142.74
11/05/24, 138.85, 138.85, 138.85, 138.85
11/04/24, 137.08, 137.08, 137.08, 137.08
11/01/24, 137.39, 137.39, 137.39, 137.39
10/31/24, 136.82, 136.82, 136.82, 136.82
10/30/24, 139.31, 139.31, 139.31, 139.31
10/29/24, 139.73, 139.73, 139.73, 139.73
10/28/24, 139.51, 139.51, 139.51, 139.51
10/25/24, 138.98, 138.98, 138.98, 138.98
10/24/24, 139.10, 139.10, 139.10, 139.10
10/23/24, 138.78, 138.78, 138.78, 138.78
10/22/24, 140.03, 140.03, 140.03, 140.03
10/21/24, 140.17, 140.17, 140.17, 140.17
10/18/24, 140.61, 140.61, 140.61, 140.61
10/17/24, 140.09, 140.09, 140.09, 140.09
10/16/24, 140.13, 140.13, 140.13, 140.13
10/15/24, 139.37, 139.37, 139.37, 139.37
10/14/24, 140.30, 140.30, 140.30, 140.30
10/11/24, 139.27, 139.27, 139.27, 139.27
10/10/24, 138.21, 138.21, 138.21, 138.21
10/09/24, 138.49, 138.49, 138.49, 138.49
10/08/24, 137.53, 137.53, 137.53, 137.53
10/07/24, 136.34, 136.34, 136.34, 136.34
10/04/24, 137.65, 137.65, 137.65, 137.65
10/03/24, 136.31, 136.31, 136.31, 136.31
10/02/24, 136.59, 136.59, 136.59, 136.59
10/01/24, 136.56, 136.56, 136.56, 136.56
09/30/24, 137.86, 137.86, 137.86, 137.86
09/27/24, 137.32, 137.32, 137.32, 137.32
09/26/24, 137.83, 137.83, 137.83, 137.83
09/25/24, 137.24, 137.24, 137.24, 137.24
09/24/24, 137.64, 137.64, 137.64, 137.64
09/23/24, 137.32, 137.32, 137.32, 137.32
09/20/24, 136.96, 136.96, 136.96, 136.96
09/19/24, 137.30, 137.30, 137.30, 137.30
09/18/24, 134.97, 134.97, 134.97, 134.97
09/17/24, 135.30, 135.30, 135.30, 135.30
09/16/24, 135.18, 135.18, 135.18, 135.18
09/13/24, 134.92, 134.92, 134.92, 134.92
09/12/24, 133.96, 133.96, 133.96, 133.96
09/11/24, 132.92, 132.92, 132.92, 132.92
09/10/24, 131.59, 131.59, 131.59, 131.59
09/09/24, 131.07, 131.07, 131.07, 131.07
09/06/24, 129.65, 129.65, 129.65, 129.65
09/05/24, 131.90, 131.90, 131.90, 131.90
09/04/24, 132.33, 132.33, 132.33, 132.33
09/03/24, 132.56, 132.56, 132.56, 132.56
08/30/24, 135.51, 135.51, 135.51, 135.51
08/29/24, 134.18, 134.18, 134.18, 134.18
08/28/24, 134.06, 134.06, 134.06, 134.06
08/27/24, 134.88, 134.88, 134.88, 134.88
08/26/24, 134.75, 134.75, 134.75, 134.75
08/23/24, 135.16, 135.16, 135.16, 135.16
08/22/24, 133.41, 133.41, 133.41, 133.41
08/21/24, 134.60, 134.60, 134.60, 134.60
08/20/24, 133.88, 133.88, 133.88, 133.88
08/19/24, 134.25, 134.25, 134.25, 134.25
08/16/24, 132.95, 132.95, 132.95, 132.95
08/15/24, 132.66, 132.66, 132.66, 132.66
08/14/24, 130.44, 130.44, 130.44, 130.44
08/13/24, 130.01, 130.01, 130.01, 130.01
08/12/24, 127.86, 127.86, 127.86, 127.86
08/09/24, 127.97, 127.97, 127.97, 127.97
08/08/24, 127.40, 127.40, 127.40, 127.40
08/07/24, 124.50, 124.50, 124.50, 124.50
08/06/24, 125.50, 125.50, 125.50, 125.50
08/05/24, 124.21, 124.21, 124.21, 124.21
08/02/24, 128.02, 128.02, 128.02, 128.02
08/01/24, 130.65, 130.65, 130.65, 130.65
07/31/24, 132.63, 132.63, 132.63, 132.63
07/30/24, 130.73, 130.73, 130.73, 130.73
07/29/24, 131.28, 131.28, 131.28, 131.28
07/26/24, 131.27, 131.27, 131.27, 131.27
07/25/24, 129.75, 129.75, 129.75, 129.75
07/24/24, 130.16, 130.16, 130.16, 130.16
07/23/24, 133.26, 133.26, 133.26, 133.26
07/22/24, 133.34, 133.34, 133.34, 133.34
07/19/24, 131.88, 131.88, 131.88, 131.88
07/18/24, 132.74, 132.74, 132.74, 132.74
07/17/24, 133.92, 133.92, 133.92, 133.92
07/16/24, 135.84, 135.84, 135.84, 135.84
07/15/24, 134.65, 134.65, 134.65, 134.65
07/12/24, 134.11, 134.11, 134.11, 134.11
07/11/24, 133.30, 133.30, 133.30, 133.30
07/10/24, 133.93, 133.93, 133.93, 133.93
07/09/24, 132.60, 132.60, 132.60, 132.60
07/08/24, 132.61, 132.61, 132.61, 132.61
07/05/24, 132.44, 132.44, 132.44, 132.44
07/03/24, 131.83, 131.83, 131.83, 131.83
07/02/24, 131.22, 131.22, 131.22, 131.22
07/01/24, 130.46, 130.46, 130.46, 130.46
06/28/24, 130.25, 130.25, 130.25, 130.25
06/27/24, 131.10, 131.10, 131.10, 131.10
06/26/24, 130.87, 130.87, 130.87, 130.87
06/25/24, 130.71, 130.71, 130.71, 130.71
06/24/24, 130.36, 130.36, 130.36, 130.36
06/21/24, 130.62, 130.62, 130.62, 130.62
06/20/24, 130.75, 130.75, 130.75, 130.75
06/18/24, 131.09, 131.09, 131.09, 131.09
06/17/24, 130.78, 130.78, 130.78, 130.78
06/14/24, 129.77, 129.77, 129.77, 129.77
06/13/24, 129.97, 129.97, 129.97, 129.97
06/12/24, 129.85, 129.85, 129.85, 129.85
06/11/24, 128.66, 128.66, 128.66, 128.66
06/10/24, 128.38, 128.38, 128.38, 128.38
06/07/24, 127.99, 127.99, 127.99, 127.99
06/06/24, 128.24, 128.24, 128.24, 128.24
06/05/24, 128.32, 128.32, 128.32, 128.32
06/04/24, 126.78, 126.78, 126.78, 126.78
06/03/24, 126.78, 126.78, 126.78, 126.78
05/31/24, 126.73, 126.73, 126.73, 126.73
05/30/24, 125.80, 125.80, 125.80, 125.80
05/29/24, 126.37, 126.37, 126.37, 126.37
05/28/24, 127.38, 127.38, 127.38, 127.38
05/24/24, 127.45, 127.45, 127.45, 127.45
05/23/24, 126.54, 126.54, 126.54, 126.54
05/22/24, 127.62, 127.62, 127.62, 127.62
05/21/24, 128.02, 128.02, 128.02, 128.02
05/20/24, 127.80, 127.80, 127.80, 127.80
05/17/24, 127.64, 127.64, 127.64, 127.64
05/16/24, 127.48, 127.48, 127.48, 127.48
05/15/24, 127.80, 127.80, 127.80, 127.80
05/14/24, 126.31, 126.31, 126.31, 126.31
05/13/24, 125.60, 125.60, 125.60, 125.60
05/10/24, 125.62, 125.62, 125.62, 125.62
05/09/24, 125.48, 125.48, 125.48, 125.48
05/08/24, 124.76, 124.76, 124.76, 124.76
05/07/24, 124.84, 124.84, 124.84, 124.84
05/06/24, 124.72, 124.72, 124.72, 124.72
05/03/24, 123.37, 123.37, 123.37, 123.37
05/02/24, 121.91, 121.91, 121.91, 121.91
05/01/24, 120.71, 120.71, 120.71, 120.71
04/30/24, 121.01, 121.01, 121.01, 121.01
04/29/24, 123.01, 123.01, 123.01, 123.01
04/26/24, 122.59, 122.59, 122.59, 122.59
04/25/24, 121.40, 121.40, 121.40, 121.40
04/24/24, 121.97, 121.97, 121.97, 121.97
04/23/24, 121.98, 121.98, 121.98, 121.98
04/22/24, 120.45, 120.45, 120.45, 120.45
04/19/24, 119.39, 119.39, 119.39, 119.39
04/18/24, 120.30, 120.30, 120.30, 120.30
04/17/24, 120.56, 120.56, 120.56, 120.56
04/16/24, 121.31, 121.31, 121.31, 121.31
04/15/24, 121.59, 121.59, 121.59, 121.59
04/12/24, 123.14, 123.14, 123.14, 123.14
04/11/24, 125.01, 125.01, 125.01, 125.01
04/10/24, 124.13, 124.13, 124.13, 124.13
04/09/24, 125.48, 125.48, 125.48, 125.48
04/08/24, 125.28, 125.28, 125.28, 125.28
04/05/24, 125.24, 125.24, 125.24, 125.24
04/04/24, 123.90, 123.90, 123.90, 123.90
04/03/24, 125.40, 125.40, 125.40, 125.40
04/02/24, 125.20, 125.20, 125.20, 125.20
04/01/24, 126.24, 126.24, 126.24, 126.24
03/28/24, 126.60, 126.60, 126.60, 126.60
03/27/24, 126.43, 126.43, 126.43, 126.43
03/26/24, 125.23, 125.23, 125.23, 125.23
03/25/24, 125.53, 125.53, 125.53, 125.53
03/22/24, 125.85, 125.85, 125.85, 125.85
03/21/24, 126.61, 126.61, 126.61, 126.61
03/20/24, 126.09, 126.09, 126.09, 126.09
03/19/24, 124.83, 124.83, 124.83, 124.83
03/18/24, 124.12, 124.12, 124.12, 124.12
03/15/24, 123.47, 123.47, 123.47, 123.47
03/14/24, 124.18, 124.18, 124.18, 124.18
03/13/24, 124.69, 124.69, 124.69, 124.69
03/12/24, 124.85, 124.85, 124.85, 124.85
03/11/24, 123.61, 123.61, 123.61, 123.61
03/08/24, 123.83, 123.83, 123.83, 123.83
03/07/24, 124.59, 124.59, 124.59, 124.59
03/06/24, 123.34, 123.34, 123.34, 123.34
03/05/24, 122.65, 122.65, 122.65, 122.65
03/04/24, 123.95, 123.95, 123.95, 123.95
03/01/24, 124.07, 124.07, 124.07, 124.07
02/29/24, 123.09, 123.09, 123.09, 123.09
02/28/24, 122.42, 122.42, 122.42, 122.42
02/27/24, 122.64, 122.64, 122.64, 122.64
02/26/24, 122.32, 122.32, 122.32, 122.32
02/23/24, 122.66, 122.66, 122.66, 122.66
02/22/24, 122.58, 122.58, 122.58, 122.58
02/21/24, 120.18, 120.18, 120.18, 120.18
02/20/24, 120.14, 120.14, 120.14, 120.14
02/16/24, 120.95, 120.95, 120.95, 120.95
02/15/24, 121.58, 121.58, 121.58, 121.58
02/14/24, 120.69, 120.69, 120.69, 120.69
02/13/24, 119.34, 119.34, 119.34, 119.34
02/12/24, 121.23, 121.23, 121.23, 121.23
02/09/24, 121.18, 121.18, 121.18, 121.18
02/08/24, 120.39, 120.39, 120.39, 120.39
02/07/24, 120.12, 120.12, 120.12, 120.12
02/06/24, 119.21, 119.21, 119.21, 119.21
02/05/24, 118.83, 118.83, 118.83, 118.83
02/02/24, 119.37, 119.37, 119.37, 119.37
02/01/24, 118.25, 118.25, 118.25, 118.25
01/31/24, 116.78, 116.78, 116.78, 116.78
01/30/24, 118.76, 118.76, 118.76, 118.76
01/29/24, 118.92, 118.92, 118.92, 118.92
01/26/24, 117.89, 117.89, 117.89, 117.89
01/25/24, 117.92, 117.92, 117.92, 117.92
01/24/24, 117.31, 117.31, 117.31, 117.31
01/23/24, 117.34, 117.34, 117.34, 117.34
01/22/24, 117.09, 117.09, 117.09, 117.09
01/19/24, 116.63, 116.63, 116.63, 116.63
01/18/24, 115.22, 115.22, 115.22, 115.22
01/17/24, 114.24, 114.24, 114.24, 114.24
01/16/24, 114.91, 114.91, 114.91, 114.91
01/12/24, 115.43, 115.43, 115.43, 115.43
01/11/24, 115.38, 115.38, 115.38, 115.38
01/10/24, 115.51, 115.51, 115.51, 115.51
01/09/24, 114.90, 114.90, 114.90, 114.90
01/08/24, 115.13, 115.13, 115.13, 115.13
01/05/24, 113.46, 113.46, 113.46, 113.46
01/04/24, 113.27, 113.27, 113.27, 113.27
01/03/24, 113.59, 113.59, 113.59, 113.59
01/02/24, 114.76, 114.76, 114.76, 114.76
12/29/23, 115.49, 115.49, 115.49, 115.49
12/28/23, 115.97, 115.97, 115.97, 115.97
12/27/23, 115.93, 115.93, 115.93, 115.93
12/26/23, 115.73, 115.73, 115.73, 115.73
12/22/23, 115.16, 115.16, 115.16, 115.16
12/21/23, 114.90, 114.90, 114.90, 114.90
12/20/23, 113.64, 113.64, 113.64, 113.64
12/19/23, 115.88, 115.88, 115.88, 115.88
12/18/23, 115.05, 115.05, 115.05, 115.05
12/15/23, 114.58, 114.58, 114.58, 114.58
12/14/23, 114.69, 114.69, 114.69, 114.69
12/13/23, 114.04, 114.04, 114.04, 114.04
12/12/23, 112.29, 112.29, 112.29, 112.29
12/11/23, 111.83, 111.83, 111.83, 111.83
12/08/23, 111.39, 111.39, 111.39, 111.39
12/07/23, 110.89, 110.89, 110.89, 110.89
12/06/23, 110.01, 110.01, 110.01, 110.01
12/05/23, 110.42, 110.42, 110.42, 110.42
12/04/23, 110.64, 110.64, 110.64, 110.64
12/01/23, 111.07, 111.07, 111.07, 111.07
11/30/23, 110.13, 110.13, 110.13, 110.13
11/29/23, 109.66, 109.66, 109.66, 109.66
11/28/23, 109.61, 109.61, 109.61, 109.61
11/27/23, 109.55, 109.55, 109.55, 109.55
11/24/23, 109.76, 109.76, 109.76, 109.76
11/22/23, 109.58, 109.58, 109.58, 109.58
11/21/23, 109.09, 109.09, 109.09, 109.09
11/20/23, 109.41, 109.41, 109.41, 109.41
11/17/23, 108.62, 108.62, 108.62, 108.62
11/16/23, 108.34, 108.34, 108.34, 108.34
11/15/23, 108.37, 108.37, 108.37, 108.37
11/14/23, 108.16, 108.16, 108.16, 108.16
11/13/23, 105.79, 105.79, 105.79, 105.79
11/10/23, 105.86, 105.86, 105.86, 105.86
11/09/23, 104.28, 104.28, 104.28, 104.28
11/08/23, 105.19, 105.19, 105.19, 105.19
11/07/23, 105.18, 105.18, 105.18, 105.18
11/06/23, 104.86, 104.86, 104.86, 104.86
11/03/23, 104.86, 104.86, 104.86, 104.86
11/02/23, 103.68, 103.68, 103.68, 103.68
11/01/23, 101.68, 101.68, 101.68, 101.68
10/31/23, 100.69, 100.69, 100.69, 100.69
10/30/23, 100.00, 100.00, 100.00, 100.00
10/27/23, 98.85, 98.85, 98.85, 98.85
10/26/23, 99.40, 99.40, 99.40, 99.40
10/25/23, 100.43, 100.43, 100.43, 100.43
10/24/23, 101.98, 101.98, 101.98, 101.98
10/23/23, 101.22, 101.22, 101.22, 101.22
10/20/23, 101.48, 101.48, 101.48, 101.48
10/19/23, 102.77, 102.77, 102.77, 102.77
10/18/23, 103.73, 103.73, 103.73, 103.73
10/17/23, 105.26, 105.26, 105.26, 105.26
10/16/23, 105.14, 105.14, 105.14, 105.14
10/13/23, 103.95, 103.95, 103.95, 103.95
10/12/23, 104.52, 104.52, 104.52, 104.52
10/11/23, 105.36, 105.36, 105.36, 105.36
10/10/23, 104.94, 104.94, 104.94, 104.94
10/09/23, 104.32, 104.32, 104.32, 104.32
10/06/23, 103.65, 103.65, 103.65, 103.65
10/05/23, 102.42, 102.42, 102.42, 102.42
10/04/23, 102.53, 102.53, 102.53, 102.53
10/03/23, 101.74, 101.74, 101.74, 101.74
10/02/23, 103.23, 103.23, 103.23, 103.23
09/29/23, 103.41, 103.41, 103.41, 103.41
09/28/23, 103.67, 103.67, 103.67, 103.67
09/27/23, 103.00, 103.00, 103.00, 103.00
09/26/23, 102.86, 102.86, 102.86, 102.86
09/25/23, 104.37, 104.37, 104.37, 104.37
09/22/23, 103.96, 103.96, 103.96, 103.96
09/21/23, 104.18, 104.18, 104.18, 104.18
09/20/23, 105.97, 105.97, 105.97, 105.97
09/19/23, 107.32, 107.32, 107.32, 107.32
09/18/23, 107.57, 107.57, 107.57, 107.57
09/15/23, 107.58, 107.58, 107.58, 107.58
09/14/23, 108.86, 108.86, 108.86, 108.86
09/13/23, 107.90, 107.90, 107.90, 107.90
09/12/23, 107.90, 107.90, 107.90, 107.90
09/11/23, 108.45, 108.45, 108.45, 108.45
